178.137.167.51 - - [31/May/2016:17:15:46 -0700] "GET / HTTP/1.1" 200 13117 "http://spravkavspb.ru/" "Mozilla/0.91 Beta (Windows)" "www.dayworkercentermv.org"
73.231.130.200 - - [31/May/2016:17:18:49 -0700] "GET /img/wordpress_mini_wpmini-blue_16x16.png HTTP/1.1" 200 958 "http://www.dayworkercentermv.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "www.dayworkercentermv.org"
159.203.75.59 - - [31/May/2016:17:22:27 -0700] "GET /volunteer/signup.php HTTP/1.1" 200 10305 "-" "Lynx/2.8.5rel.1 libwww-FM/2.15FC SSL-MM/1.4.1c OpenSSL/0.9.7e-dev" "dayworkercentermv.org"
159.203.75.59 - - [31/May/2016:17:22:27 -0700] "GET /workers/ HTTP/1.1" 200 10542 "http://dayworkercentermv.org/volunteer/signup.php" "Lynx/2.8.5rel.1 libwww-FM/2.15FC SSL-MM/1.4.1c OpenSSL/0.9.7e-dev" "dayworkercentermv.org"
180.76.15.143 - - [31/May/2016:17:25:00 -0700] "GET /aboutus/newsletter/DWC_Newsletter_Sep2012.pdf HTTP/1.1" 200 611879 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dayworkercentermv.org"
177.189.64.67 - - [31/May/2016:17:46:54 -0700] "GET / HTTP/1.1" 200 13117 "http://keywords-monitoring-success.com/try.php?u=http://dayworkercentermv.org" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "dayworkercentermv.org"
177.189.64.67 - - [31/May/2016:17:46:57 -0700] "GET /img/nav_off.gif HTTP/1.1" 200 601 "http://dayworkercentermv.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "dayworkercentermv.org"
177.189.64.67 - - [31/May/2016:17:46:57 -0700] "GET /img/more_arrow.gif HTTP/1.1" 200 193 "http://dayworkercentermv.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "dayworkercentermv.org"
177.189.64.67 - - [31/May/2016:17:46:57 -0700] "GET /img/statement_bgrd.gif HTTP/1.1" 200 6639 "http://dayworkercentermv.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "dayworkercentermv.org"
177.189.64.67 - - [31/May/2016:17:46:57 -0700] "GET /img/img_hire_merged.jpg HTTP/1.1" 200 28486 "http://dayworkercentermv.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "dayworkercentermv.org"
207.46.13.130 - - [31/May/2016:18:02:06 -0700] "GET /aboutus/ HTTP/1.1" 200 10122 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dayworkercentermv.org"
